PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHOS LEVEL1 (millimole/m3),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-11-02T13:20:00Z,50.7405,1.5677,14.932,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T13:40:00Z,50.7405,1.5677,14.934,0.037,,0.006,28.357,0.04,0,0.6,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T14:00:01Z,50.7405,1.5677,14.929,0.037,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T14:20:00Z,50.7405,1.5677,14.925,0.037,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T14:40:00Z,50.7405,1.5677,14.922,0.038,,0.006,28.357,0.04,0,0.104,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T15:00:01Z,50.7405,1.5677,14.913,0.037,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T15:20:00Z,50.7405,1.5677,14.904,0.036,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T15:40:00Z,50.7405,1.5677,14.895,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T16:00:00Z,50.7405,1.5677,14.877,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T16:00:01Z,50.7405,1.5677,,,22.298,,1.4,,,,,,,,,,0011199097999999999
6200443,0x3f,2024-11-02T16:20:00Z,50.7405,1.5677,14.877,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T16:40:00Z,50.7405,1.5677,14.874,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T17:00:00Z,50.7405,1.5677,14.866,0.037,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T17:20:00Z,50.7405,1.5677,14.853,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T17:40:00Z,50.7405,1.5677,14.828,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T18:00:01Z,50.7405,1.5677,14.793,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T18:20:00Z,50.7405,1.5677,14.754,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T18:40:00Z,50.7405,1.5677,14.737,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T19:00:00Z,50.7405,1.5677,14.789,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T19:20:00Z,50.7405,1.5677,14.845,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T19:40:00Z,50.7405,1.5677,14.888,0.037,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T20:00:00Z,50.7405,1.5677,14.936,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T20:20:00Z,50.7405,1.5677,14.979,0.036,,0.006,28.357,0.04,0,0.007,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T20:40:00Z,50.7405,1.5677,15.007,0.037,,0.006,28.357,0.04,0,0.056,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T21:00:00Z,50.7405,1.5677,15.023,0.037,,0.006,28.357,0.04,0,0.109,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T21:20:00Z,50.7405,1.5677,15.026,0.037,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T21:40:00Z,50.7405,1.5677,15.015,0.037,,0.006,28.357,0.04,0,0.122,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T22:00:00Z,50.7405,1.5677,14.976,0.037,,0.006,28.357,0.04,0,0.071,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T22:20:00Z,50.7405,1.5677,14.903,0.036,,0.006,28.357,0.04,0,0.059,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T22:40:00Z,50.7405,1.5677,14.851,0.038,,0.006,28.357,0.04,0,0.035,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T23:00:00Z,50.7405,1.5677,14.832,0.037,,0.006,28.357,0.04,0,0.075,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T23:20:01Z,50.7405,1.5677,14.83,0.038,,0.006,28.357,0.04,0,0,61,,0.648,,0,0,0011114941104191943
